Latitude,Longitude,Date,MODIS_Tile,MYD13A1_061_Line_Y_500m,MYD13A1_061_Sample_X_500m,MYD13A1_061__500m_16_days_EVI,MYD13A1_061__500m_16_days_MIR_reflectance,MYD13A1_061__500m_16_days_NDVI,MYD13A1_061__500m_16_days_NIR_reflectance,MYD13A1_061__500m_16_days_blue_reflectance,MYD13A1_061__500m_16_days_composite_day_of_the_year,MYD13A1_061__500m_16_days_red_reflectance,MYD13A1_061__500m_16_days_relative_azimuth_angle,MYD13A1_061__500m_16_days_sun_zenith_angle,MYD13A1_061__500m_16_days_view_zenith_angle,MYD13A1_061__500m_16_days_VI_Quality,MYD13A1_061__500m_16_days_pixel_reliability,MYD13A1_061__500m_16_days_VI_Quality_bitmask,MYD13A1_061__500m_16_days_VI_Quality_MODLAND,MYD13A1_061__500m_16_days_VI_Quality_MODLAND_Description,MYD13A1_061__500m_16_days_VI_Quality_VI_Usefulness,MYD13A1_061__500m_16_days_VI_Quality_VI_Usefulness_Description,MYD13A1_061__500m_16_days_VI_Quality_Aerosol_Quantity,MYD13A1_061__500m_16_days_VI_Quality_Aerosol_Quantity_Description,MYD13A1_061__500m_16_days_VI_Quality_Adjacent_cloud_detected,MYD13A1_061__500m_16_days_VI_Quality_Adjacent_cloud_detected_Description,MYD13A1_061__500m_16_days_VI_Quality_Atmosphere_BRDF_Correction,MYD13A1_061__500m_16_days_VI_Quality_Atmosphere_BRDF_Correction_Description,MYD13A1_061__500m_16_days_VI_Quality_Mixed_Clouds,MYD13A1_061__500m_16_days_VI_Quality_Mixed_Clouds_Description,MYD13A1_061__500m_16_days_VI_Quality_Land/Water_Mask,MYD13A1_061__500m_16_days_VI_Quality_Land/Water_Mask_Description,MYD13A1_061__500m_16_days_VI_Quality_Possible_snow/ice,MYD13A1_061__500m_16_days_VI_Quality_Possible_snow/ice_Description,MYD13A1_061__500m_16_days_VI_Quality_Possible_shadow,MYD13A1_061__500m_16_days_VI_Quality_Possible_shadow_Description,MYD13A1_061__500m_16_days_pixel_reliability_bitmask,MYD13A1_061__500m_16_days_pixel_reliability_MODLAND,MYD13A1_061__500m_16_days_pixel_reliability_MODLAND_Description
40.1547789,-88.580707,2016-03-29,h11v04,2362.0,551.0,0.1567,0.2803,0.2784,0.2057,0.0631,93.0,0.1161,-124.6999969,36.9399986,18.3799992,2116.0,0.0,0b0000100001000100,0b00,VI produced with good quality,0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
40.1547789,-88.580707,2016-04-14,h11v04,2362.0,551.0,0.1721,0.4246,0.261,0.2662,0.0803,105.0,0.156,45.0099983,35.4699974,25.8999996,2116.0,0.0,0b0000100001000100,0b00,VI produced with good quality,0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
40.1547789,-88.580707,2016-04-30,h11v04,2362.0,551.0,0.1515,0.2886,0.3156,0.1684,0.0481,134.0,0.0876,-136.3799896,24.5799999,28.5799999,2116.0,0.0,0b0000100001000100,0b00,VI produced with good quality,0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
40.1547789,-88.580707,2016-05-16,h11v04,2362.0,551.0,0.1837,0.2998,0.3395,0.202,0.0542,143.0,0.0996,-136.0699921,22.1399994,37.3099976,2185.0,1.0,0b0000100010001001,0b01,"VI produced, but check other QA",0b0010,Decreasing quality (0010),0b10,Average,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000001,0b00000000000000000000000000000001,"Marginal data, Useful, but look at other QA information"
40.1547789,-88.580707,2016-06-01,h11v04,2362.0,551.0,0.6747,0.1366,0.8385,0.4555,0.0208,167.0,0.04,26.4699993,25.8299999,41.8099976,2120.0,0.0,0b0000100001001000,0b00,VI produced with good quality,0b0010,Decreasing quality (0010),0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
40.1547789,-88.580707,2016-06-17,h11v04,2362.0,551.0,0.6299,0.0794,0.8793,0.3833,0.0143,173.0,0.0246,-140.1199951,20.3500004,19.3899994,2116.0,0.0,0b0000100001000100,0b00,VI produced with good quality,0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
40.1547789,-88.580707,2016-07-03,h11v04,2362.0,551.0,0.772,0.0572,0.9299,0.4935,0.0081,200.0,0.0179,-127.5499954,20.5,44.7299995,2189.0,1.0,0b0000100010001101,0b01,"VI produced, but check other QA",0b0011,Decreasing quality (0011),0b10,Average,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000001,0b00000000000000000000000000000001,"Marginal data, Useful, but look at other QA information"
40.1547789,-88.580707,2016-07-19,h11v04,2362.0,551.0,0.7888,0.06,0.9119,0.521,0.012,208.0,0.024,37.3400002,27.1999989,33.7999992,2116.0,0.0,0b0000100001000100,0b00,VI produced with good quality,0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
40.1547789,-88.580707,2016-08-04,h11v04,2362.0,551.0,0.6781,0.0523,0.8884,0.425,0.0135,223.0,0.0251,-125.6399994,26.3199997,37.5900002,2185.0,1.0,0b0000100010001001,0b01,"VI produced, but check other QA",0b0010,Decreasing quality (0010),0b10,Average,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000001,0b00000000000000000000000000000001,"Marginal data, Useful, but look at other QA information"
40.1547789,-88.580707,2016-08-20,h11v04,2362.0,551.0,0.5765,0.0782,0.8011,0.3804,0.022,242.0,0.042,45.7799988,35.2799988,14.1099997,2116.0,0.0,0b0000100001000100,0b00,VI produced with good quality,0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
40.1547789,-88.580707,2016-09-05,h11v04,2362.0,551.0,0.2995,0.165,0.4923,0.2784,0.0418,256.0,0.0947,46.9399986,41.7900009,33.8099976,2116.0,0.0,0b0000100001000100,0b00,VI produced with good quality,0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
40.1547789,-88.580707,2016-09-21,h11v04,2362.0,551.0,0.163,0.1606,0.2839,0.2148,0.0636,265.0,0.1198,49.2599983,44.6199989,24.5100002,2116.0,0.0,0b0000100001000100,0b00,VI produced with good quality,0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
40.1547789,-88.580707,2016-10-07,h11v04,2362.0,551.0,0.1395,0.2259,0.2911,0.1694,0.0478,283.0,0.093,57.0299988,50.4599991,2.98,2116.0,0.0,0b0000100001000100,0b00,VI produced with good quality,0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
40.1547789,-88.580707,2016-10-23,h11v04,2362.0,551.0,0.1617,0.2976,0.2822,0.2165,0.0628,311.0,0.1212,53.3400002,61.9499969,41.8999977,2124.0,0.0,0b0000100001001100,0b00,VI produced with good quality,0b0011,Decreasing quality (0011),0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
40.1547789,-88.580707,2016-11-08,h11v04,2362.0,551.0,0.1217,0.2022,0.2664,0.1616,0.0436,326.0,0.0936,-120.2099991,62.1299973,29.039999,2120.0,0.0,0b0000100001001000,0b00,VI produced with good quality,0b0010,Decreasing quality (0010),0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
40.1547789,-88.580707,2016-11-24,h11v04,2362.0,551.0,0.1117,0.1209,0.2486,0.1582,0.0427,342.0,0.0952,-118.1199951,64.3399963,29.039999,2189.0,1.0,0b0000100010001101,0b01,"VI produced, but check other QA",0b0011,Decreasing quality (0011),0b10,Average,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000001,0b00000000000000000000000000000001,"Marginal data, Useful, but look at other QA information"
40.1547789,-88.580707,2016-12-10,h11v04,2362.0,551.0,0.1068,0.1594,0.2631,0.1392,0.0359,347.0,0.0812,57.9199982,65.659996,2.98,2120.0,0.0,0b0000100001001000,0b00,VI produced with good quality,0b0010,Decreasing quality (0010),0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
40.1547789,-88.580707,2016-12-26,h11v04,2362.0,551.0,0.0991,0.1732,0.2439,0.1369,0.0376,1.0,0.0832,-115.0799942,63.7999992,37.5,2120.0,0.0,0b0000100001001000,0b00,VI produced with good quality,0b0010,Decreasing quality (0010),0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
40.1547789,-88.580707,2017-01-09,h11v04,2362.0,551.0,0.0908,0.1416,0.2284,0.1288,0.0394,21.0,0.0809,-110.6100006,59.9300003,59.8400002,2120.0,1.0,0b0000100001001000,0b00,VI produced with good quality,0b0010,Decreasing quality (0010),0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000001,0b00000000000000000000000000000001,"Marginal data, Useful, but look at other QA information"
40.1547789,-88.580707,2017-01-25,h11v04,2362.0,551.0,0.1349,0.2323,0.233,0.2217,0.0649,30.0,0.1379,59.0099983,62.0200005,58.8199997,2454.0,3.0,0b0000100110010110,0b10,"Pixel produced, but most probably cloudy",0b0101,Decreasing quality (0101),0b10,Average,0b1,Yes,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000011,0b00000000000000000000000000000011,"Cloudy data, Target not visible, covered with cloud"
40.1547789,-88.580707,2017-02-10,h11v04,2362.0,551.0,0.1411,0.3,0.2471,0.2117,0.0656,50.0,0.1278,59.0900002,53.9499969,33.9899979,2116.0,0.0,0b0000100001000100,0b00,VI produced with good quality,0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
40.1547789,-88.580707,2017-02-26,h11v04,2362.0,551.0,0.1405,0.1925,0.2765,0.1865,0.0512,66.0,0.1057,56.6899986,48.4799995,34.079998,2116.0,0.0,0b0000100001000100,0b00,VI produced with good quality,0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
40.1547789,-88.580707,2017-03-14,h11v04,2362.0,551.0,0.1237,0.2732,0.254,0.1698,0.0514,81.0,0.101,-119.4899979,40.2000008,37.1100006,2116.0,0.0,0b0000100001000100,0b00,VI produced with good quality,0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
40.1547789,-88.580707,2017-03-30,h11v04,2362.0,551.0,0.1362,0.2309,0.2612,0.189,0.0556,91.0,0.1107,49.5399971,39.4799995,25.2399998,2116.0,0.0,0b0000100001000100,0b00,VI produced with good quality,0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
40.1547789,-88.580707,2017-04-15,h11v04,2362.0,551.0,0.1633,0.388,0.2503,0.2505,0.0822,114.0,0.1502,39.0400009,33.4500008,34.0,2116.0,0.0,0b0000100001000100,0b00,VI produced with good quality,0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
40.1547789,-88.580707,2017-05-01,h11v04,2362.0,551.0,0.1505,0.2516,0.2752,0.2004,0.0596,125.0,0.1139,34.579998,28.4499989,3.0,2116.0,0.0,0b0000100001000100,0b00,VI produced with good quality,0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
40.1547789,-88.580707,2017-05-17,h11v04,2362.0,551.0,0.1994,0.3484,0.3272,0.2407,0.0646,142.0,0.122,26.1299992,31.4799995,58.8099976,2120.0,1.0,0b0000100001001000,0b00,VI produced with good quality,0b0010,Decreasing quality (0010),0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000001,0b00000000000000000000000000000001,"Marginal data, Useful, but look at other QA information"
40.1547789,-88.580707,2017-06-02,h11v04,2362.0,551.0,0.2329,0.2827,0.3821,0.2539,0.0571,166.0,0.1135,-140.2299957,21.3599987,8.5100002,2116.0,0.0,0b0000100001000100,0b00,VI produced with good quality,0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
40.1547789,-88.580707,2017-06-18,h11v04,2362.0,551.0,0.3979,0.1762,0.6559,0.2835,0.0301,184.0,0.0589,-136.8499908,19.8500004,29.2299995,2116.0,0.0,0b0000100001000100,0b00,VI produced with good quality,0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
40.1547789,-88.580707,2017-07-04,h11v04,2362.0,551.0,0.592,0.1349,0.8018,0.3911,0.0239,198.0,0.043,-135.8999939,22.6000004,8.6799994,2116.0,0.0,0b0000100001000100,0b00,VI produced with good quality,0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
40.1547789,-88.580707,2017-07-20,h11v04,2362.0,551.0,0.8298,0.0989,0.9069,0.5618,0.0155,210.0,0.0274,37.4599991,27.7399998,33.7999992,2116.0,0.0,0b0000100001000100,0b00,VI produced with good quality,0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
40.1547789,-88.580707,2017-08-05,h11v04,2362.0,551.0,0.8128,0.0638,0.9394,0.5223,0.0085,230.0,0.0163,-129.5899963,30.25,8.6799994,2116.0,0.0,0b0000100001000100,0b00,VI produced with good quality,0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
40.1547789,-88.580707,2017-08-21,h11v04,2362.0,551.0,0.7813,0.0606,0.9211,0.5022,0.0113,239.0,0.0206,-127.0999985,32.7599983,19.4899998,2116.0,0.0,0b0000100001000100,0b00,VI produced with good quality,0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
40.1547789,-88.580707,2017-09-06,h11v04,2362.0,551.0,0.6208,0.0728,0.7642,0.4566,0.0306,253.0,0.061,54.8400002,39.0599976,2.8099999,2116.0,0.0,0b0000100001000100,0b00,VI produced with good quality,0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
40.1547789,-88.580707,2017-09-22,h11v04,2362.0,551.0,0.2172,0.1802,0.3723,0.2298,0.0567,269.0,0.1051,47.1399994,45.329998,2.98,2116.0,0.0,0b0000100001000100,0b00,VI produced with good quality,0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
40.1547789,-88.580707,2017-10-08,h11v04,2362.0,551.0,0.1737,0.251,0.3156,0.2134,0.0541,281.0,0.111,49.0099983,52.3999977,41.8999977,2120.0,0.0,0b0000100001001000,0b00,VI produced with good quality,0b0010,Decreasing quality (0010),0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
40.1547789,-88.580707,2017-10-24,h11v04,2362.0,551.0,0.1507,0.2499,0.2604,0.2088,0.0684,299.0,0.1225,52.6699982,57.4899979,24.789999,2116.0,0.0,0b0000100001000100,0b00,VI produced with good quality,0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
40.1547789,-88.580707,2017-11-09,h11v04,2362.0,551.0,0.1389,0.2699,0.2718,0.182,0.0543,313.0,0.1042,53.6800003,62.6800003,41.8999977,2124.0,0.0,0b0000100001001100,0b00,VI produced with good quality,0b0011,Decreasing quality (0011),0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
40.1547789,-88.580707,2017-11-25,h11v04,2362.0,551.0,0.1051,0.2237,0.2775,0.1206,0.0379,335.0,0.0682,-120.7099991,64.0499954,19.289999,2120.0,0.0,0b0000100001001000,0b00,VI produced with good quality,0b0010,Decreasing quality (0010),0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
40.1547789,-88.580707,2017-12-11,h11v04,2362.0,551.0,0.1398,0.3183,0.2912,0.1687,0.0485,349.0,0.0926,59.9099998,65.75,2.8899999,2120.0,0.0,0b0000100001001000,0b00,VI produced with good quality,0b0010,Decreasing quality (0010),0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
40.1547789,-88.580707,2017-12-27,h11v04,2362.0,551.0,-0.0118,0.0558,-0.0109,0.8266,0.8317,2.0,0.8449,-115.9399948,64.2200012,19.2999992,18453.0,2.0,0b0100100000010101,0b01,"VI produced, but check other QA",0b0101,Decreasing quality (0101),0b00,Climatology,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b1,Yes,0b0,No,0b00000000000000000000000000000010,0b00000000000000000000000000000010,Snow/Ice Target covered with snow/ice
40.1547789,-88.580707,2018-01-09,h11v04,2362.0,551.0,0.0993,0.1847,0.2469,0.1313,0.0398,13.0,0.0793,-113.2200012,61.9399986,44.5499992,2124.0,0.0,0b0000100001001100,0b00,VI produced with good quality,0b0011,Decreasing quality (0011),0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
40.1547789,-88.580707,2018-01-25,h11v04,2362.0,551.0,0.0886,0.1177,0.2693,0.1025,0.0306,25.0,0.059,-117.0400009,60.1800003,8.4899998,2120.0,0.0,0b0000100001001000,0b00,VI produced with good quality,0b0010,Decreasing quality (0010),0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
40.1547789,-88.580707,2018-02-10,h11v04,2362.0,551.0,0.1055,0.1513,0.2678,0.1285,0.0384,56.0,0.0742,-111.0699997,49.0999985,59.8199997,2449.0,1.0,0b0000100110010001,0b01,"VI produced, but check other QA",0b0100,Decreasing quality (0100),0b10,Average,0b1,Yes,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000001,0b00000000000000000000000000000001,"Marginal data, Useful, but look at other QA information"
40.1547789,-88.580707,2018-02-26,h11v04,2362.0,551.0,0.1055,0.1596,0.2762,0.1229,0.0375,57.0,0.0697,-118.3699951,50.0900002,8.4899998,2116.0,0.0,0b0000100001000100,0b00,VI produced with good quality,0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
